Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Int,Tkl+Int,Clr,Err
Ramón Terrats,es ESP,MF,Villarreal,22-183,2000,5.1,1.37,1.18,0.2,0.59,0.59,0.39,1.76,0.59,0.2
Ramón Terrats,es ESP,MF,Girona,22-183,2000,2.4,1.67,0.83,0.42,1.25,0,1.25,2.92,1.25,0.42
Lucas Torró,es ESP,MF,Osasuna,28-274,1994,21.9,1.87,1.28,1.05,0.64,0.18,1.55,3.42,2.24,0.05
Nabil Touaizi,ma MAR,MF,Espanyol,22-077,2001,0,0,0,0,0,0,0,0,0,0
Manu Trigueros,es ESP,MF,Villarreal,31-184,1991,6.9,1.88,1.16,1.01,0.43,0.43,0.43,2.32,0.29,0
Viktor Tsyhankov,ua UKR,MF,Girona,25-155,1997,7.8,0.51,0.51,0.38,0,0.13,0.9,1.41,0.9,0
Oscar Ureña,es ESP,MF,Girona,20-108,2003,1.1,3.64,1.82,1.82,1.82,0,0.91,4.55,0,0
Óscar Valentín,es ESP,MF,Rayo Vallecano,28-242,1994,21.4,3.41,1.92,1.12,1.78,0.51,1.54,4.95,1.17,0
Gabriel Veiga,es ESP,MF,Celta Vigo,20-327,2002,18.3,1.97,0.82,0.6,1.2,0.16,0.82,2.79,0.27,0
Unai Vencedor Paris,es ESP,MF,Athletic Club,22-155,2000,1.7,1.76,0.59,0,1.76,0,0.59,2.35,0,0
Mikel Vesga,es ESP,MF,Athletic Club,29-333,1993,22.6,1.81,1.02,0.62,0.97,0.22,1.28,3.1,1.37,0.09
Toni Villa,es ESP,MF,Valladolid,28-102,1995,1,6,3,2,3,1,0,6,0,0
Oier Zarraga,es ESP,MF,Athletic Club,24-105,1999,7.5,1.47,0.93,0.53,0.67,0.27,0.8,2.27,0.53,0
Martín Zubimendi,es ESP,MF,Real Sociedad,24-076,1999,25.8,1.71,0.97,0.58,0.97,0.16,0.89,2.6,1.67,0.12
Ander Barrenetxea,es ESP,"DF,FW",Real Sociedad,21-113,2001,5.4,2.96,2.04,2.41,0.56,0,0.74,3.7,1.11,0
Bryan,es ESP,"DF,FW",Sevilla,22-067,2001,6.3,2.06,1.11,1.27,0.63,0.16,0.63,2.7,1.43,0
Thierry Correia,pt POR,"DF,FW",Valencia,24-041,1999,18.1,3.15,2.21,1.99,1.05,0.11,1.16,4.31,2.21,0.11
Alberto Moreno,es ESP,"DF,FW",Villarreal,30-288,1992,10.2,1.18,0.29,0.29,0.69,0.2,1.47,2.65,2.06,0
Jesús Navas,es ESP,"DF,FW",Sevilla,37-149,1985,18.4,0.82,0.49,0.27,0.11,0.43,0.98,1.79,2.17,0.05
Aitor Ruibal,es ESP,"DF,FW",Betis,27-028,1996,13.7,2.99,1.75,2.19,0.58,0.22,1.61,4.6,2.55,0
Lautaro Blanco,ar ARG,"MF,DF",Elche,24-059,1999,4.4,2.5,0.91,1.59,0.68,0.23,0.23,2.73,1.14,0
Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,20-160,2002,16.4,2.87,2.07,1.28,0.85,0.73,0.61,3.48,1.1,0
Carmona,es ESP,"MF,DF",Elche,21-080,2002,6.5,2.46,1.38,1.08,0.92,0.46,1.23,3.69,1.38,0
Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,29-034,1994,11.9,2.77,2.1,0.84,1.51,0.42,1.51,4.29,2.27,0
Mamady Diarra,ml MLI,"MF,DF",Cádiz,22-297,2000,0.7,2.86,1.43,2.86,0,0,0,2.86,0,0
John Donald,es ESP,"MF,DF",Elche,22-232,2000,3.6,1.11,0.28,0.56,0.56,0,1.94,3.06,1.11,0.28
Pablo Durán,es ESP,"MF,DF",Celta Vigo,22-084,2001,0.4,0,0,0,0,0,2.5,2.5,5,0
Nicolás Ezequiel Fernández,ar ARG,"MF,DF",Elche,23-098,2000,4.1,4.15,2.2,1.95,0.98,1.22,1.22,5.37,0.49,0.24
Fernando,br BRA,"MF,DF",Sevilla,35-268,1987,14.7,1.97,1.36,0.82,0.95,0.2,1.36,3.33,1.84,0
José Gragera,es ESP,"MF,DF",Espanyol,22-140,2000,4.4,3.41,1.59,2.05,1.14,0.23,1.59,5,4.09,0
Martin Hongla,cm CMR,"MF,DF",Valladolid,25-034,1998,7.7,1.69,1.17,1.17,0.52,0,0.78,2.47,3.25,0.13
Josan,es ESP,"MF,DF",Elche,33-137,1989,5.3,1.13,0.94,0.94,0.19,0,0.38,1.51,1.13,0
