Player,Nation,Pos,Squad,Age,Born,90s,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Piotr Zieliński,pl POL,MF,Napoli,28-334,1994,20.1,7,5.7,5.5,+1.3,58,86,31,7,90
Szymon Żurkowski,pl POL,MF,Fiorentina,25-206,1997,0.4,1,0,0,+1.0,1,1,1,0,1
Szymon Żurkowski,pl POL,MF,Spezia,25-206,1997,2.7,0,0,0.1,0,0,7,0,0,7
Juan Cuadrado,co COL,"DF,FW",Juventus,34-328,1988,16.5,3,2.4,2,+0.6,34,38,18,9,63
Marco D'Alessandro,it ITA,"DF,FW",Monza,32-061,1991,3.2,0,0.2,0.1,-0.2,3,4,0,0,3
Samuel Iling-Junior,eng ENG,"DF,FW",Juventus,19-197,2003,1.3,1,0,0.1,+1.0,2,3,2,1,4
Filip Kostić,rs SRB,"DF,FW",Juventus,30-169,1992,23.9,8,6.4,4.1,+1.6,55,37,41,26,63
Giorgos Kyriakopoulos,gr GRE,"DF,FW",Bologna,27-073,1996,6.1,2,0.8,1,+1.2,7,17,8,4,19
João Moutinho,pt POR,"DF,FW",Spezia,25-097,1998,0.6,0,0,0,0,1,4,0,0,1
Simone Bastoni,it ITA,"MF,DF",Spezia,26-165,1996,11,2,0.9,1.1,+1.1,15,28,9,6,27
Valentin Carboni,it ITA,"MF,DF",Inter,18-045,2005,0.3,0,0,0,0,1,0,0,0,1
Mikael Ellertsson,is ISL,"MF,DF",Spezia,21-039,2002,1.9,0,0,0,0,1,3,0,0,3
Pablo Galdames Millán,cl CHI,"MF,DF",Cremonese,26-110,1996,3,0,0.2,0.3,-0.2,6,8,2,0,12
Grigoris Kastanos,cy CYP,"MF,DF",Salernitana,25-079,1998,8.5,0,0.4,0.5,-0.4,8,24,6,1,26
Darko Lazović,rs SRB,"MF,DF",Hellas Verona,32-216,1990,19.9,4,4.7,4.1,-0.7,33,40,27,12,66
Mehdi Léris,dz ALG,"MF,DF",Sampdoria,24-331,1998,23,1,1.3,1.2,-0.3,16,37,16,4,53
Weston McKennie,us USA,"MF,DF",Juventus,24-234,1998,11.7,1,0.7,0.9,+0.3,8,23,6,4,39
Gary Medel,cl CHI,"MF,DF",Bologna,35-259,1987,15.1,1,0.3,0.4,+0.7,6,59,4,0,52
Michel Ndary Adopo,fr FRA,"MF,DF",Torino,22-274,2000,2.8,0,0,0.1,0,1,7,0,0,8
Paul Pogba,fr FRA,"MF,DF",Juventus,30-035,1993,0.5,0,0,0,0,0,4,0,0,1
Ignacio Pussetto,ar ARG,"MF,DF",Sampdoria,27-119,1995,1.7,0,0.2,0.1,-0.2,2,2,0,0,1
Ivan Radovanović,rs SRB,"MF,DF",Salernitana,34-233,1988,7.5,0,0,0.1,0,1,19,0,0,16
Matìas Soulé,ar ARG,"MF,DF",Juventus,20-004,2003,3.6,0,0.4,0.3,-0.4,8,6,2,1,9
Ethan Ampadu,wls WAL,"DF,MF",Spezia,22-217,2000,23,1,0.9,0.8,+0.1,10,91,11,4,104
Raoul Bellanova,it ITA,"DF,MF",Inter,22-337,2000,2.2,0,0.1,0.2,-0.1,1,3,2,2,4
Antonio Candreva,it ITA,"DF,MF",Salernitana,36-050,1987,25.8,3,4,4.4,-1,46,91,43,26,120
Federico Chiesa,it ITA,"DF,MF",Juventus,25-176,1997,5,3,2.1,1.2,+0.9,11,11,7,4,18
Patrick Ciurria,it ITA,"DF,MF",Monza,28-069,1995,22.8,5,5.2,2.8,-0.2,31,46,26,13,62
Fabio Depaoli,it ITA,"DF,MF",Sampdoria,25-360,1997,1.5,0,0.4,0.3,-0.4,4,6,4,4,10
Koray Günter,de GER,"DF,MF",Sampdoria,28-246,1994,2.6,0,0.1,0.2,-0.1,1,6,1,1,8
Lorenzo Malagrida,it ITA,"DF,MF",Sampdoria,19-177,2003,0.6,0,0,0,0,0,1,0,0,0
Joakim Mæhle,dk DEN,"DF,MF",Atalanta,25-334,1997,17.7,1,1.9,2.1,-0.9,26,54,35,6,109
Roberto Pereyra,ar ARG,"DF,MF",Udinese,32-102,1991,23.5,6,4.1,4.6,+1.9,37,69,41,10,123
Matteo Ruggeri,it ITA,"DF,MF",Atalanta,20-282,2002,9.2,1,0.9,0.9,+0.1,10,38,12,6,55
Stephan El Shaarawy,it ITA,"DF,MF",Roma,30-174,1992,12.9,1,0.9,1,+0.1,16,25,13,1,47
Filippo Terracciano,it ITA,"DF,MF",Hellas Verona,20-070,2003,7.2,0,0.9,0.9,-0.9,5,15,6,2,27
Nadir Zortea,it ITA,"DF,MF",Atalanta,23-304,1999,2.5,0,0.6,0.2,-0.6,3,3,3,1,9
James Abankwah,ie IRL,DF,Udinese,19-093,2004,0.1,0,0,0,0,0,0,0,0,0
Francesco Acerbi,it ITA,DF,Inter,35-068,1988,20.3,1,0.9,1,+0.1,12,68,11,3,88
Ola Aina,ng NGA,DF,Torino,26-193,1996,9,1,2,1.8,-1,11,29,13,9,39
