Player,Nation,Pos,Squad,Age,Born,90s,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Hugo Sotelo,es ESP,MF,Celta Vigo,19-121,2003,0.2,0,0,0,0,0,10,0,0,10
Vinicius Souza,br BRA,MF,Espanyol,23-306,1999,24.5,0.04,0.02,0.02,0.02,0.37,3.18,0.12,0.04,3.18
Denis Suárez,es ESP,MF,Espanyol,29-103,1994,4.9,0,0.14,0.18,-0.14,1.63,2.86,1.02,0.2,3.88
Williot Swedberg,se SWE,MF,Celta Vigo,19-077,2004,0.4,0,0,0.25,0,0,2.5,2.5,0,7.5
Aurélien Tchouaméni,fr FRA,MF,Real Madrid,23-082,2000,16.8,0.24,0.13,0.11,0.11,1.07,6.19,0.54,0,6.31
Ramón Terrats,es ESP,MF,Villarreal,22-183,2000,5.1,0.2,0.25,0.16,-0.06,1.37,3.33,1.37,0.2,6.47
Ramón Terrats,es ESP,MF,Girona,22-183,2000,2.4,0,0,0,0,0.42,2.08,0.42,0,2.5
Lucas Torró,es ESP,MF,Osasuna,28-274,1994,21.9,0,0.01,0.02,-0.01,0.27,3.24,0,0,3.88
Nabil Touaizi,ma MAR,MF,Espanyol,22-077,2001,0,0,0,0,0,0,0,0,0,1
Manu Trigueros,es ESP,MF,Villarreal,31-184,1991,6.9,0,0.07,0.06,-0.07,1.01,5.36,1.01,0,7.25
Viktor Tsyhankov,ua UKR,MF,Girona,25-155,1997,7.8,0.38,0.22,0.26,0.17,2.18,0.77,0.64,0.13,2.82
Oscar Ureña,es ESP,MF,Girona,20-108,2003,1.1,0,0,0,0,0,0.91,0,0,0.91
Óscar Valentín,es ESP,MF,Rayo Vallecano,28-242,1994,21.4,0,0.04,0.05,-0.04,0.75,5.51,0.14,0.05,5.23
Gabriel Veiga,es ESP,MF,Celta Vigo,20-327,2002,18.3,0.22,0.13,0.15,0.09,1.2,3.28,1.04,0.11,4.43
Unai Vencedor Paris,es ESP,MF,Athletic Club,22-155,2000,1.7,0,0,0,0,0.59,6.47,0,0,7.06
Mikel Vesga,es ESP,MF,Athletic Club,29-333,1993,22.6,0.13,0.06,0.07,0.07,0.84,7.48,0.8,0.13,7.57
Toni Villa,es ESP,MF,Valladolid,28-102,1995,1,0,0,0,0,1,2,0,0,4
Oier Zarraga,es ESP,MF,Athletic Club,24-105,1999,7.5,0,0.08,0.07,-0.08,1.2,3.73,0.67,0.4,3.33
Martín Zubimendi,es ESP,MF,Real Sociedad,24-076,1999,25.8,0.08,0.03,0.05,0.04,0.43,5.16,0.58,0,5.54
Ander Barrenetxea,es ESP,"DF,FW",Real Sociedad,21-113,2001,5.4,0,0,0.04,0,0.19,1.48,0.56,0,2.78
Bryan,es ESP,"DF,FW",Sevilla,22-067,2001,6.3,0.32,0.11,0.08,0.21,1.27,0.63,1.27,0.32,2.22
Thierry Correia,pt POR,"DF,FW",Valencia,24-041,1999,18.1,0,0.03,0.07,-0.03,0.5,4.14,1.05,0.5,4.59
Alberto Moreno,es ESP,"DF,FW",Villarreal,30-288,1992,10.2,0,0.09,0.09,-0.09,0.88,0.98,1.76,0.39,3.14
Jesús Navas,es ESP,"DF,FW",Sevilla,37-149,1985,18.4,0,0.15,0.16,-0.15,1.3,2.66,2.12,0.71,4.62
Aitor Ruibal,es ESP,"DF,FW",Betis,27-028,1996,13.7,0,0.11,0.07,-0.11,0.88,3.36,0.73,0.29,3.8
Lautaro Blanco,ar ARG,"MF,DF",Elche,24-059,1999,4.4,0.23,0.11,0.09,0.11,1.36,2.5,1.36,0.91,2.95
Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,20-160,2002,16.4,0.06,0.08,0.1,-0.02,1.04,6.04,0.61,0.06,7.5
Carmona,es ESP,"MF,DF",Elche,21-080,2002,6.5,0,0.02,0.03,-0.02,0.62,0.92,0.31,0,1.54
Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,29-034,1994,11.9,0,0.03,0.03,-0.03,0.42,4.45,0.34,0,4.62
Mamady Diarra,ml MLI,"MF,DF",Cádiz,22-297,2000,0.7,0,0,0,0,0,0,0,0,0
John Donald,es ESP,"MF,DF",Elche,22-232,2000,3.6,0,0.03,0.03,-0.03,0.56,0.28,0,0,1.11
Pablo Durán,es ESP,"MF,DF",Celta Vigo,22-084,2001,0.4,0,0,0,0,0,0,0,0,0
Nicolás Ezequiel Fernández,ar ARG,"MF,DF",Elche,23-098,2000,4.1,0,0.12,0.15,-0.12,2.2,2.68,2.68,1.46,5.37
Fernando,br BRA,"MF,DF",Sevilla,35-268,1987,14.7,0,0.01,0.02,-0.01,0.34,3.13,0.14,0,3.81
José Gragera,es ESP,"MF,DF",Espanyol,22-140,2000,4.4,0,0,0.02,0,0,1.59,0,0,2.05
Martin Hongla,cm CMR,"MF,DF",Valladolid,25-034,1998,7.7,0,0,0.01,0,0,1.56,0.13,0,2.6
Josan,es ESP,"MF,DF",Elche,33-137,1989,5.3,0,0.08,0.04,-0.08,0.94,1.51,0.75,0.19,2.08
Marcos Llorente,es ESP,"MF,DF",Atlético Madrid,28-079,1995,18.9,0.11,0.2,0.16,-0.1,1.53,1.59,1.59,0.16,4.66
