Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Int,Tkl+Int,Clr,Err
Toma Bašić,hr CRO,MF,Lazio,26-145,1996,5,1,0.6,0.6,0.2,0.2,1.4,2.4,1.6,0
Julius Beck,dk DEN,MF,Spezia,17-357,2005,0.1,20,10,10,10,0,0,20,0,0
Marco Benassi,it ITA,MF,Cremonese,28-223,1994,8.5,2.24,1.41,0.82,0.71,0.71,1.06,3.29,1.06,0
Ismaël Bennacer,dz ALG,MF,Milan,25-139,1997,19.6,2.76,1.48,1.17,1.48,0.1,1.22,3.98,0.77,0.05
Alessandro Bianco,it ITA,MF,Fiorentina,20-200,2002,1.3,2.31,0.77,0.77,1.54,0,0,2.31,0,0
Kristijan Bistrović,hr CRO,MF,Lecce,25-010,1998,5.1,0.59,0.2,0.59,0,0,0,0.59,0.78,0
Alexis Blin,fr FRA,MF,Lecce,26-215,1996,19.6,2.76,1.43,1.07,1.22,0.46,1.33,4.08,3.42,0
Emil Bohinen,no NOR,MF,Salernitana,24-038,1999,6.2,3.06,1.61,1.77,0.97,0.32,1.77,4.84,2.42,0
Giacomo Bonaventura,it ITA,MF,Fiorentina,33-240,1989,19.6,1.68,1.07,0.71,0.77,0.2,0.77,2.45,0.2,0.05
Warren Bondo,fr FRA,MF,Monza,19-216,2003,0.7,1.43,0,1.43,0,0,0,1.43,0,0
Mehdi Bourabia,ma MAR,MF,Spezia,31-255,1991,25.6,1.45,0.66,0.51,0.74,0.2,1.09,2.54,1.76,0
Edoardo Bove,it ITA,MF,Roma,20-338,2002,4.7,3.4,1.49,0.64,1.91,0.85,0.85,4.26,1.28,0
Jayden Braaf,nl NED,MF,Hellas Verona,20-231,2002,2.5,2,1.2,0.8,1.2,0,0.8,2.8,0,0
Marcelo Brozović,hr CRO,MF,Inter,30-154,1992,12.6,1.51,0.87,0.48,0.87,0.16,1.35,2.86,1.51,0
Hakan Çalhanoğlu,tr TUR,MF,Inter,29-070,1994,21.6,1.81,0.97,0.69,0.93,0.19,1.02,2.82,0.42,0.05
Mohamed Camara,gn GUI,MF,Roma,26-050,1997,4.6,2.17,1.96,0.65,1.3,0.22,1.52,3.7,0.87,0
Michele Castagnetti,it ITA,MF,Cremonese,33-113,1989,11.3,2.74,1.42,1.33,1.33,0.09,1.15,3.89,1.5,0
Gaetano Castrovilli,it ITA,MF,Fiorentina,26-061,1997,3.8,1.84,1.32,0,1.32,0.53,0.79,2.63,0.53,0
Danilo Cataldi,it ITA,MF,Lazio,28-256,1994,20.6,1.12,0.68,0.29,0.68,0.15,1.17,2.28,1.55,0
Andrea Colpani,it ITA,MF,Monza,23-343,1999,7.7,1.82,1.17,0.78,0.65,0.39,0.39,2.21,0.39,0
Alessandro Cortinovis,it ITA,MF,Hellas Verona,22-084,2001,0.1,10,0,10,0,0,0,10,0,0
Lassana Coulibaly,ml MLI,MF,Salernitana,27-009,1996,24.6,2.56,1.46,1.26,1.06,0.24,0.65,3.21,0.93,0.08
Bryan Cristante,it ITA,MF,Roma,28-047,1995,26.1,3.68,2.03,1.8,1.57,0.31,0.42,4.1,1.46,0
Domen Črnigoj,si SVN,MF,Salernitana,27-152,1995,3.3,2.42,0.91,0,2.12,0.3,2.73,5.15,1.82,0
Mickaël Cuisance,fr FRA,MF,Sampdoria,23-246,1999,5.8,2.07,1.55,1.03,0.86,0.17,0.69,2.76,0.69,0
Duccio Degl'Innocenti,it ITA,MF,Empoli,19-356,2003,0,0,0,0,0,0,1,1,0,0
Diego Demme,de GER,MF,Napoli,31-149,1991,1,1,0,1,0,0,0,1,1,0
Brahim Díaz,es ESP,MF,Milan,23-259,1999,15.7,1.46,0.7,0.25,1.02,0.19,0.32,1.78,0.32,0
Nicolás Domínguez,ar ARG,MF,Bologna,24-295,1998,19.3,3.06,1.97,1.4,1.24,0.41,0.78,3.83,1.19,0.05
Ondrej Duda,sk SVK,MF,Hellas Verona,28-135,1994,9.7,2.06,1.34,0.72,1.13,0.21,1.13,3.2,0.62,0
