Player,Nation,Pos,Squad,Age,Born,90s,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Lyanco,br BRA,DF,Southampton,26-077,1997,7.8,0,0.01,0.01,-0.01,0.13,2.56,0.13,0,2.56
Harry Maguire,eng ENG,DF,Manchester Utd,30-045,1993,7.4,0,0,0.01,0,0.14,3.92,0,0,3.24
Tyrell Malacia,nl NED,DF,Manchester Utd,23-245,1999,11.8,0,0.03,0.04,-0.03,0.34,2.46,0.25,0,2.54
Javier Manquillo,es ESP,DF,Newcastle Utd,28-349,1994,0.2,0,0,0,0,0,0,0,0,5
Lisandro Martínez,ar ARG,DF,Manchester Utd,25-091,1998,23.5,0,0.01,0.04,-0.01,0.26,3.91,0.21,0,3.53
Joël Matip,cm CMR,DF,Liverpool,31-254,1991,10.1,0,0.03,0.04,-0.03,0.3,4.36,0.59,0,4.65
Scott McKenna,sct SCO,DF,Nott'ham Forest,26-158,1996,17.1,0,0.06,0.02,-0.06,0.47,2.05,0.18,0.06,2.05
Ben Mee,eng ENG,DF,Brentford,33-210,1989,29.3,0,0.01,0.02,-0.01,0.17,2.18,0.2,0.03,2.12
Chris Mepham,wls WAL,DF,Bournemouth,25-165,1997,21.4,0,0.01,0.03,-0.01,0.19,1.59,0.09,0,1.59
Yerry Mina,co COL,DF,Everton,28-208,1994,2.6,0,0,0,0,0,3.85,0,0,2.69
Tyrone Mings,eng ENG,DF,Aston Villa,30-037,1993,28,0.07,0.05,0.03,0.02,0.18,2.96,0.18,0,2.86
Tyrick Mitchell,eng ENG,DF,Crystal Palace,23-230,1999,25.1,0.08,0.04,0.04,0.04,0.44,2.47,0.6,0.24,3.07
Álex Moreno,es ESP,DF,Aston Villa,29-315,1993,10.3,0.29,0.22,0.19,0.07,1.84,1.26,1.46,0.68,1.94
Moussa Niakhate,sn SEN,DF,Nott'ham Forest,27-042,1996,6.8,0,0.01,0,-0.01,0.15,1.47,0,0,1.03
Rasmus Nissen,dk DEN,DF,Leeds United,25-282,1997,15.8,0.06,0.06,0.05,0,0.51,2.59,0.95,0.13,3.61
Angelo Ogbonna,it ITA,DF,West Ham,34-331,1988,8.9,0,0.02,0.01,-0.02,0.22,0.22,0.11,0,0.45
Emerson Palmieri,it ITA,DF,West Ham,28-259,1994,10.9,0,0.06,0.06,-0.06,0.83,2.29,0.73,0.28,3.21
Romain Perraud,fr FRA,DF,Southampton,25-209,1997,19,0.11,0.09,0.09,0.01,0.74,2.42,0.74,0.37,3.11
Nathaniel Phillips,eng ENG,DF,Liverpool,26-029,1997,0.7,0,0,0,0,0,10,0,0,12.9
Ethan Pinnock,jm JAM,DF,Brentford,29-325,1993,23,0,0.04,0.04,-0.04,0.26,1.39,0.09,0.09,1.7
Pedro Porro,es ESP,DF,Tottenham,23-218,1999,6.7,0.15,0.19,0.16,-0.04,1.79,2.09,2.39,1.49,3.43
Tim Ream,us USA,DF,Fulham,35-196,1987,30,0,0,0.01,0,0.1,4.63,0,0,4.23
Nathan Redmond,eng ENG,DF,Southampton,29-044,1994,0,0,0,0,0,0,0,0,0,0
Chris Richards,us USA,DF,Crystal Palace,23-022,2000,4,0,0.07,0,-0.07,0.25,2,0,0,2.25
Andrew Robertson,sct SCO,DF,Liverpool,29-039,1994,22.7,0.26,0.22,0.24,0.05,1.76,3.39,1.28,0.57,5.11
Antonee Robinson,us USA,DF,Fulham,25-254,1997,26.3,0.04,0.04,0.06,0,0.72,3.23,1.29,0.8,3.92
Mads Roerslev,dk DEN,DF,Brentford,23-299,1999,11.2,0,0.09,0.06,-0.09,0.63,1.16,0.54,0.36,1.52
Cristian Romero,ar ARG,DF,Tottenham,24-357,1998,21.3,0,0.01,0.03,-0.01,0.19,3.29,0.38,0,3.85
William Saliba,fr FRA,DF,Arsenal,22-026,2001,26.8,0.04,0.04,0.01,-0.01,0.22,4.14,0.11,0,3.69
Mohammed Salisu,gh GHA,DF,Southampton,24-002,1999,21.9,0.05,0.03,0.02,0.02,0.32,3.65,0.32,0.18,3.74
Davinson Sánchez,co COL,DF,Tottenham,26-311,1996,6.8,0,0.01,0.03,-0.01,0.15,4.41,0.15,0.15,4.26
Fabian Schär,ch SUI,DF,Newcastle Utd,31-120,1991,27.8,0.04,0.07,0.06,-0.04,0.5,3.85,0.58,0.04,4.06
Nélson Semedo,pt POR,DF,Wolves,29-154,1993,22.8,0.04,0.03,0.04,0.01,0.44,3.73,0.57,0.22,3.86
Marcos Senesi,ar ARG,DF,Bournemouth,25-344,1997,22.9,0,0.02,0.01,-0.02,0.22,2.71,0.09,0.04,1.83
Ryan Sessegnon,eng ENG,DF,Tottenham,22-336,2000,9,0,0.12,0.12,-0.12,0.67,1.78,1.22,0.33,2.44
Luke Shaw,eng ENG,DF,Manchester Utd,27-281,1995,21.9,0.09,0.14,0.11,-0.05,1.32,5.66,1.19,0.55,4.84
Thiago Silva,br BRA,DF,Chelsea,38-209,1984,20.1,0.1,0.02,0.03,0.08,0.2,4.48,0.5,0,4.08
Adam Smith,eng ENG,DF,Bournemouth,31-355,1991,27.9,0.04,0.03,0.04,0.01,0.32,2.19,0.79,0.47,2.65
