Player,Nation,Pos,Squad,Age,Born,90s,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Jonas Martin,fr FRA,MF,Lille,33-010,1990,2.2,0,0,0.05,0,0.45,7.73,0.45,0,7.73
Gelson Martins,pt POR,"MF,FW",Monaco,27-343,1995,3.8,0,0.08,0.11,-0.08,0.79,2.11,2.37,0,3.68
Han-Noah Massengo,fr FRA,MF,Auxerre,21-286,2001,7.9,0,0.06,0.1,-0.06,0.89,2.15,1.14,0.25,2.91
Yanis Massolin,fr FRA,MF,Clermont Foot,20-211,2002,0.7,0,0,0,0,0,4.29,0,0,5.71
Eliot Matazo,be BEL,"MF,FW",Monaco,21-063,2002,10.2,0,0.01,0.02,-0.01,0.1,3.73,0.2,0,4.51
Chrislain Matsima,fr FRA,"DF,MF",Lorient,20-339,2002,2.5,0,0,0,0,0,1.2,0,0,0.4
Chrislain Matsima,fr FRA,DF,Monaco,20-339,2002,1.5,0.67,0.27,0.2,0.4,0.67,8,2.67,0,10.7
Jean Mattéo Bahoya,fr FRA,"MF,FW",Angers,17-347,2005,1.2,0,0.33,0.08,-0.33,2.5,1.67,0.83,0,2.5
Azor Matusiwa,nl NED,MF,Reims,24-356,1998,22,0,0.04,0.05,-0.04,0.82,5.5,0.5,0,7.77
Aïman Maurer,ma MAR,MF,Clermont Foot,18-206,2004,4.7,0,0.11,0.17,-0.11,0.64,0.43,0.85,0.21,1.49
Stephy Mavididi,eng ENG,FW,Montpellier,24-323,1998,11.3,0.09,0.08,0.07,0.01,0.71,0.71,0.18,0.09,1.33
Christian Mawissa,fr FRA,DF,Toulouse,18-001,2005,1.1,0,0,0,0,0,0.91,0,0,5.45
Fernand Mayembo,cg CGO,DF,Ajaccio,27-100,1996,7.9,0,0.01,0,-0.01,0.25,0.89,0,0,1.39
Kylian Mbappé,fr FRA,FW,Paris S-G,24-120,1998,24.3,0.16,0.25,0.28,-0.08,1.77,2.51,2.55,0.37,4.28
Chancel Mbemba,cd COD,DF,Marseille,28-254,1994,26.8,0,0.01,0.03,-0.01,0.15,4.03,0.67,0.19,5.3
Jason Mbock,fr FRA,"MF,FW",Angers,23-169,1999,0.3,0,1,0.67,-1,3.33,0,0,0,3.33
Nathanael Mbuku,fr FRA,"FW,MF",Reims,21-034,2002,0.7,0,0,0,0,0,2.86,0,0,4.29
Facundo Medina,ar ARG,DF,Lens,23-326,1999,24.9,0.12,0.03,0.05,0.09,0.48,8.23,0.56,0.32,8.39
Bamo Meïté,ci CIV,DF,Lorient,21-303,2001,11.8,0,0,0,0,0,1.27,0,0,1.95
Farid El Melali,dz ALG,"DF,FW",Angers,25-349,1997,8.5,0,0.02,0.02,-0.02,0.47,1.41,0.47,0.12,2.59
Birger Meling,no NOR,DF,Rennes,28-123,1994,11.2,0.09,0.06,0.13,0.03,0.45,4.11,0.98,0.18,6.96
Nuno Mendes,pt POR,DF,Paris S-G,20-304,2002,16.8,0.36,0.17,0.21,0.19,1.43,3.21,1.07,0.36,4.46
Pedro Mendes,pt POR,DF,Montpellier,32-200,1990,0.1,0,0,0,0,0,0,0,0,0
Thiago Mendes,br BRA,"MF,DF",Lyon,31-035,1992,19,0.05,0.03,0.08,0.02,0.47,6.47,0.47,0,7.53
Antoine Mendy,fr FRA,DF,Nice,18-327,2004,4.5,0.22,0.09,0.07,0.13,1.33,2,1.56,0.67,3.78
Arial Mendy,sn SEN,DF,Clermont Foot,28-163,1994,2.5,0,0.04,0.12,-0.04,0.4,2.8,1.6,0.8,2.8
Batista Mendy,fr FRA,"MF,DF",Angers,23-097,2000,25.6,0,0.04,0.05,-0.04,0.51,4.57,0.63,0.08,6.13
Gideon Mensah,gh GHA,DF,Auxerre,24-275,1998,19.1,0,0.05,0.08,-0.05,0.89,3.87,0.73,0.37,4.35
Quentin Merlin,fr FRA,DF,Nantes,20-338,2002,14.2,0.14,0.17,0.18,-0.03,1.83,3.87,1.13,0.77,4.58
Lionel Messi,ar ARG,"FW,MF",Paris S-G,35-299,1987,25.5,0.55,0.42,0.51,0.13,2.94,7.22,4.04,0.08,9.53
Arkadiusz Milik,pl POL,FW,Marseille,29-050,1994,1.4,0,0.14,0,-0.14,0.71,1.43,0,0,0.71
Takumi Minamino,jp JPN,"MF,FW",Monaco,28-093,1995,5.6,0.54,0.2,0.29,0.34,1.43,1.61,1.25,0,3.39
Terem Moffi,ng NGA,FW,Nice,23-329,1999,7.8,0.26,0.1,0.06,0.15,1.41,0.38,0.51,0.13,1.15
Terem Moffi,ng NGA,FW,Lorient,23-329,1999,15.4,0,0.03,0.05,-0.03,0.58,0.91,0.32,0,1.3
Mostafa Mohamed,eg EGY,FW,Nantes,25-142,1997,17.6,0.11,0.1,0.04,0.02,0.85,0.85,0.23,0.06,1.08
Florent Mollet,fr FRA,MF,Nantes,31-151,1991,8.6,0.12,0.28,0.17,-0.16,2.09,3.37,0.93,0.35,6.16
Marlos Moreno,co COL,"MF,DF",Troyes,26-211,1996,0.1,0,0,0,0,0,0,0,0,10
Lebo Mothiba,za RSA,"FW,MF",Strasbourg,27-081,1996,4.8,0,0.02,0.02,-0.02,0.21,1.04,0.21,0,1.46
Steve Mounié,bj BEN,FW,Brest,28-202,1994,11.5,0,0.03,0.06,-0.03,0.52,1.48,0,0,1.83
Bevic Moussiti-Oko,cg CGO,FW,Ajaccio,28-081,1995,7.8,0,0.1,0.05,-0.1,0.64,1.28,0.26,0,1.28
Samuel Moutoussamy,cd COD,MF,Nantes,26-250,1996,19.7,0.1,0.04,0.06,0.06,0.76,4.77,0.46,0.05,5.74
Nordi Mukiele,fr FRA,DF,Paris S-G,25-169,1997,12.6,0.24,0.17,0.11,0.07,0.79,1.35,0.71,0.16,2.06
Marshall Munetsi,zw ZIM,MF,Reims,26-301,1996,23.4,0.13,0.1,0.05,0.03,1.03,2.52,0.3,0.04,3.08
Yvon Mvogo,ch SUI,GK,Lorient,28-317,1994,13.1,0,0,0,0,0,0.31,0,0,0
